gender,age_group,total_time,work_strength_time,roxzone_time,work_run_time,run_1,1000m Ski,roxzone_1,run_2,50m Sled Push,roxzone_2,run_3,50m Sled Pull,roxzone_3,run_4,80m Burpee Broad Jump,roxzone_4,run_5,1000m Row,roxzone_5,run_6,200m Farmer Carry,roxzone_6,run_7,100m Sandbag Lunges,roxzone_7,run_8,100 Wall Balls
male,16-24,0:56:47,0:25:27,0:04:43,0:26:37,0:04:15,0:04:06,0:00:32,0:03:02,0:02:20,0:00:30,0:03:11,0:03:31,0:00:34,0:03:10,0:02:51,0:00:22,0:03:10,0:04:09,0:00:45,0:03:10,0:01:30,0:00:59,0:03:11,0:03:12,0:01:01,0:03:28,0:03:48
male,25-29,0:58:24,0:27:01,0:05:02,0:26:21,0:04:11,0:03:52,0:00:33,0:03:02,0:01:40,0:00:32,0:03:13,0:03:14,0:00:39,0:03:08,0:04:07,0:00:22,0:03:14,0:04:18,0:00:44,0:03:05,0:02:00,0:01:08,0:03:04,0:03:35,0:01:04,0:03:24,0:04:15
male,35-39,1:00:33,0:25:53,0:05:02,0:29:38,0:04:48,0:04:08,0:00:38,0:03:20,0:02:20,0:00:33,0:03:30,0:03:29,0:00:38,0:03:31,0:03:06,0:00:22,0:03:36,0:04:18,0:00:46,0:03:30,0:01:32,0:01:00,0:03:31,0:03:08,0:01:05,0:03:52,0:03:52
male,30-34,1:01:56,0:25:43,0:05:00,0:31:13,0:04:50,0:03:59,0:00:37,0:03:32,0:02:13,0:00:31,0:03:40,0:03:10,0:00:37,0:03:38,0:03:10,0:00:20,0:03:50,0:04:08,0:00:47,0:03:45,0:01:36,0:01:02,0:03:48,0:03:26,0:01:06,0:04:10,0:04:01
male,30-34,1:02:10,0:26:07,0:05:03,0:31:00,0:04:25,0:03:59,0:00:37,0:03:34,0:02:21,0:00:33,0:03:49,0:03:04,0:00:35,0:03:40,0:02:50,0:00:22,0:03:55,0:04:18,0:00:49,0:03:45,0:01:27,0:01:01,0:03:43,0:03:36,0:01:06,0:04:09,0:04:32
male,40-44,1:02:38,0:26:59,0:04:59,0:30:40,0:04:49,0:04:01,0:00:37,0:03:29,0:02:05,0:00:33,0:03:36,0:03:17,0:00:38,0:03:38,0:03:31,0:00:20,0:03:42,0:04:15,0:00:46,0:03:44,0:01:27,0:01:00,0:03:44,0:03:15,0:01:05,0:03:58,0:05:08
male,30-34,1:03:07,0:26:28,0:05:04,0:31:35,0:04:46,0:03:57,0:00:38,0:03:35,0:02:19,0:00:32,0:03:43,0:03:17,0:00:39,0:03:50,0:02:52,0:00:21,0:03:50,0:04:15,0:00:48,0:03:43,0:01:39,0:01:01,0:03:54,0:03:31,0:01:05,0:04:14,0:04:38
male,25-29,1:03:10,0:27:14,0:05:31,0:30:25,0:04:24,0:04:00,0:00:44,0:03:35,0:02:19,0:00:36,0:03:36,0:03:19,0:00:42,0:03:40,0:03:23,0:00:28,0:03:43,0:04:19,0:00:49,0:03:33,0:01:33,0:01:05,0:03:40,0:03:58,0:01:07,0:04:14,0:04:23
male,40-44,1:04:08,0:27:11,0:05:15,0:31:42,0:04:43,0:04:07,0:00:37,0:03:35,0:02:29,0:00:36,0:03:48,0:03:22,0:00:40,0:03:47,0:03:21,0:00:22,0:03:58,0:04:24,0:00:48,0:03:52,0:01:30,0:01:02,0:03:49,0:03:10,0:01:10,0:04:10,0:04:48
male,40-44,1:04:20,0:27:27,0:05:22,0:31:31,0:04:48,0:04:13,0:00:38,0:03:34,0:02:21,0:00:34,0:03:48,0:03:35,0:00:43,0:03:45,0:03:37,0:00:22,0:03:54,0:04:17,0:00:48,0:03:48,0:01:41,0:01:03,0:03:50,0:02:44,0:01:14,0:04:04,0:04:59
